"IdReparacion","IdMoto","IdUsuario","Descripcion","Estado","FechaInicio","FechaFin","Total","Fase"
"1","1767","2420","Cambio de bujía y calibración.","Finalizado","2026-03-22 00:00:00","2026-03-23 00:00:00","1441","Entregado"
"2","1317","4365","Ajuste y limpieza de carburador.","Finalizado","2026-03-22 00:00:00","2026-03-22 00:00:00","3864","Cliente informado"
"3","1461","4987","Cambio de aceite y filtro.","Finalizado","2026-03-22 00:00:00","2026-03-23 00:00:00","1759","Entregado"
"4","357","301","Limpieza de sistema de inyección.","Finalizado","2026-03-24 00:00:00","2026-03-24 00:00:00","2097","Cliente informado"
"5","4086","359","Cambio de cadena y sprocket.","Finalizado","2026-03-19 00:00:00","2026-03-23 00:00:00","1482","Entregado"
"6","4192","1891","Reparación de frenos delanteros.","Finalizado","2026-03-19 00:00:00","2026-03-23 00:00:00","150","Cliente informado"
"7","2257","4992","Reparación de frenos delanteros.","Finalizado","2026-03-25 00:00:00","2026-03-25 00:00:00","5403","Entregado"
"8","3075","3364","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-13 00:00:00","2026-03-17 00:00:00","1640","Cliente informado"
"9","1376","1996","Limpieza de sistema de inyección.","Finalizado","2026-03-17 00:00:00","2026-03-18 00:00:00","4587","Entregado"
"10","1064","2683","Ajuste y limpieza de carburador.","Entregado","2026-03-08 00:00:00","2026-03-12 00:00:00","3384","Cliente informado"
"11","1193","2853","Cambio de bujía y calibración.","Finalizado","2026-03-16 00:00:00","2026-03-16 00:00:00","2089","Entregado"
"12","3140","621","Limpieza de sistema de inyección.","Finalizado","2026-03-09 00:00:00","2026-03-11 00:00:00","4956","Cliente informado"
"13","3420","2400","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-13 00:00:00","2026-03-14 00:00:00","4020","Entregado"
"14","2563","4306","Diagnóstico de falla de encendido.","Finalizado","2026-03-24 00:00:00","2026-03-28 00:00:00","2109","Cliente informado"
"15","3381","5","Ajuste y limpieza de carburador.","Finalizado","2026-03-07 00:00:00","2026-03-09 00:00:00","2038","Entregado"
"16","2997","3553","Reparación de suspensión delantera.","Finalizado","2026-03-18 00:00:00","2026-03-18 00:00:00","1777","Cliente informado"
"17","243","186","Alineación de ruedas y balanceo.","En proceso","2026-03-02 00:00:00","2026-03-06 00:00:00","3486","Entregado"
"18","2497","3063","Cambio de aceite y filtro.","Finalizado","2026-03-06 00:00:00","2026-03-08 00:00:00","745","Cliente informado"
"19","182","134","Cambio de aceite y filtro.","Finalizado","2026-03-15 00:00:00","2026-03-19 00:00:00","1065","Entregado"
"20","201","1463","Ajuste y limpieza de carburador.","Entregado","2026-03-17 00:00:00","2026-03-18 00:00:00","1311","Cliente informado"
"21","4955","4503","Reparación de frenos delanteros.","Finalizado","2026-03-11 00:00:00","2026-03-13 00:00:00","1877","Entregado"
"22","597","2954","Reparación de frenos delanteros.","Finalizado","2026-03-25 00:00:00","2026-03-27 00:00:00","2435","Cliente informado"
"23","2527","2575","Diagnóstico de falla de encendido.","Finalizado","2026-03-16 00:00:00","2026-03-18 00:00:00","5115","Entregado"
"24","3153","1612","Reparación de suspensión delantera.","Finalizado","2026-03-29 00:00:00","2026-04-01 00:00:00","5255","Cliente informado"
"25","2885","786","Cambio de aceite y filtro.","Finalizado","2026-03-09 00:00:00","2026-03-12 00:00:00","1984","Entregado"
"26","28","3267","Diagnóstico de falla de encendido.","Finalizado","2026-03-15 00:00:00","2026-03-18 00:00:00","5408","Cliente informado"
"27","2916","429","Reparación de frenos delanteros.","Finalizado","2026-03-14 00:00:00","2026-03-15 00:00:00","3288","Entregado"
"28","4140","4513","Limpieza de sistema de inyección.","Finalizado","2026-03-08 00:00:00","2026-03-08 00:00:00","3007","Cliente informado"
"29","3849","4433","Cambio de bujía y calibración.","Finalizado","2026-03-05 00:00:00","2026-03-05 00:00:00","3744","Entregado"
"30","1805","3628","Limpieza de sistema de inyección.","Finalizado","2026-03-22 00:00:00","2026-03-23 00:00:00","4531","Cliente informado"
"31","2765","3126","Diagnóstico de falla de encendido.","Finalizado","2026-03-05 00:00:00","2026-03-07 00:00:00","150","Entregado"
"32","802","4972","Alineación de ruedas y balanceo.","Finalizado","2026-03-16 00:00:00","2026-03-17 00:00:00","150","Cliente informado"
"33","394","2439","Reparación de frenos delanteros.","Finalizado","2026-03-27 00:00:00","2026-03-31 00:00:00","1797","Entregado"
"34","3795","4808","Cambio de llanta trasera.","Finalizado","2026-03-05 00:00:00","2026-03-05 00:00:00","1946","Cliente informado"
"35","4311","246","Reparación de suspensión delantera.","Finalizado","2026-03-09 00:00:00","2026-03-09 00:00:00","4548","Entregado"
"36","1891","2066","Cambio de cadena y sprocket.","Finalizado","2026-03-18 00:00:00","2026-03-18 00:00:00","5243","Cliente informado"
