IdReparacion,IdMoto,IdUsuario,Descripcion,Estado,FechaInicio,FechaFin,Total,Fase
1,1974,4930,ajuste técnico de problema y diagnóstico y verificación completa.,Finalizado,2026-03-08 00:00:00,2026-03-10 00:00:00,5582,Entregado
2,207,1353,inspección avanzada de chip y reprogramación debido a desgaste.,Finalizado,2026-03-22 00:00:00,2026-03-22 00:00:00,4536,Entregado
3,1273,3166,inspección avanzada de vinilado y gps incluyendo ajuste final.,Finalizado,2026-03-01 00:00:00,2026-03-02 00:00:00,2979,Entregado
4,1368,708,instalación y calibración de frenos y radiador por falla detectada.,Finalizado,2026-03-19 00:00:00,2026-03-22 00:00:00,2853,Entregado
5,4388,595,ajuste técnico de suspensión y frenos y verificación completa.,En proceso,2026-03-02 00:00:00,2026-03-05 00:00:00,5094,Cliente informado
6,1160,3259,diagnóstico y reparación de calipers y luces led con pruebas posteriores.,Finalizado,2026-03-21 00:00:00,2026-03-21 00:00:00,3092,Cliente informado
7,1455,3126,corrección especializada de chequeo y filtro de aceite debido a desgaste.,Finalizado,2026-02-28 00:00:00,2026-03-04 00:00:00,5041,Entregado
8,3098,737,revisión completa de lubricacion y bujías con pruebas posteriores.,Finalizado,2026-03-11 00:00:00,2026-03-12 00:00:00,2992,Cliente informado
9,2066,5162,optimización del sistema luces y batería incluyendo ajuste final.,Finalizado,2026-03-25 00:00:00,2026-03-28 00:00:00,2882,Cliente informado
10,2964,4413,corrección especializada de problema y problema incluyendo ajuste final.,Finalizado,2026-03-23 00:00:00,2026-03-13 00:00:00,6053,Cliente informado
11,1767,5194,diagnóstico y reparación de eje y pistones incluyendo ajuste final.,Finalizado,2026-03-18 00:00:00,2026-03-20 00:00:00,1818,Cliente informado
12,1524,940,inspección avanzada de pistones y motor según solicitud del cliente.,Finalizado,2026-03-02 00:00:00,2026-03-03 00:00:00,2767,Cliente informado
13,3651,3524,corrección especializada de niveles y chequeo y verificación completa.,Finalizado,2026-03-17 00:00:00,2026-03-07 00:00:00,1889,Cliente informado
14,3675,5149,revisión completa de sensores de estacionamiento y turbo para mejorar rendimiento.,Finalizado,2026-03-01 00:00:00,2026-03-04 00:00:00,6049,Cliente informado
15,4276,3738,inspección avanzada de alineación y revisión según solicitud del cliente.,Finalizado,2026-03-25 00:00:00,2026-03-29 00:00:00,5508,Entregado
16,2395,2543,instalación y calibración de llantas deportivas y estético según solicitud del cliente.,Finalizado,2026-03-25 00:00:00,2026-03-25 00:00:00,3621,Entregado
17,3349,3967,diagnóstico y reparación de evaluación y problema por falla detectada.,Finalizado,2026-03-15 00:00:00,2026-03-18 00:00:00,4675,Cliente informado
18,2449,443,optimización del sistema velocidad y cromado según solicitud del cliente.,Finalizado,2026-03-17 00:00:00,2026-03-17 00:00:00,858,Entregado
19,3909,2476,diagnóstico y reparación de encendido y alternador según solicitud del cliente.,Finalizado,2026-02-28 00:00:00,2026-03-01 00:00:00,905,Entregado
20,391,2742,mantenimiento preventivo en cromado y personalización por falla detectada.,Finalizado,2026-03-29 00:00:00,2026-03-29 00:00:00,3907,Cliente informado
21,4768,3741,corrección especializada de batería y fallo eléctrico incluyendo ajuste final.,Finalizado,2026-03-05 00:00:00,2026-03-07 00:00:00,2579,Cliente informado
22,2121,4930,inspección avanzada de pantalla y chip para mejorar rendimiento.,Finalizado,2026-03-05 00:00:00,2026-03-06 00:00:00,5619,Entregado
23,3557,4343,optimización del sistema balanceo y alineación y verificación completa.,Finalizado,2026-03-12 00:00:00,2026-03-15 00:00:00,1331,Entregado
24,4838,2954,optimización del sistema revisión y cambio de aceite para mejorar rendimiento.,Finalizado,2026-03-02 00:00:00,2026-03-05 00:00:00,6028,Entregado
25,2516,4849,revisión completa de centralita y sistema eléctrico según solicitud del cliente.,Finalizado,2026-03-05 00:00:00,2026-03-05 00:00:00,1153,Entregado
26,4191,4269,mantenimiento preventivo en radiador y amortiguadores según solicitud del cliente.,Finalizado,2026-03-07 00:00:00,2026-03-10 00:00:00,4420,Entregado
27,1193,2853,optimización del sistema centralita y centralita por falla detectada.,Finalizado,2026-03-16 00:00:00,2026-03-16 00:00:00,2747,Entregado
28,3368,376,diagnóstico y reparación de pistones y dirección por falla detectada.,Finalizado,2026-03-06 00:00:00,2026-03-07 00:00:00,1690,Entregado
29,28,3267,optimización del sistema cableado y fallo eléctrico según solicitud del cliente.,Finalizado,2026-03-15 00:00:00,2026-03-18 00:00:00,5362,Cliente informado
30,1219,1710,optimización del sistema chequeo y niveles y verificación completa.,Finalizado,2026-03-08 00:00:00,2026-03-09 00:00:00,5723,Entregado
31,278,3918,instalación y calibración de chasis y chasis debido a desgaste.,Finalizado,2026-03-28 00:00:00,2026-03-30 00:00:00,611,Entregado
32,2122,189,instalación y calibración de distribución y motor y verificación completa.,Finalizado,2026-03-03 00:00:00,2026-03-04 00:00:00,6281,Cliente informado
33,2353,2595,mantenimiento preventivo en radiador y dirección por falla detectada.,Finalizado,2026-03-10 00:00:00,2026-03-11 00:00:00,5202,Entregado
34,3648,1756,revisión completa de cambio de aceite y cambio de aceite debido a desgaste.,Finalizado,2026-03-07 00:00:00,2026-03-10 00:00:00,5913,Cliente informado
35,3722,460,revisión completa de lubricacion y cambio de aceite debido a desgaste.,Finalizado,2026-02-28 00:00:00,2026-02-28 00:00:00,3506,Cliente informado
36,318,1978,mantenimiento preventivo en balanceo y revisión con pruebas posteriores.,Finalizado,2026-03-09 00:00:00,2026-03-12 00:00:00,2856,Cliente informado
37,1756,1635,optimización del sistema fallo eléctrico y motor de arranque por falla detectada.,Finalizado,2026-03-14 00:00:00,2026-03-17 00:00:00,2800,Entregado
38,3651,3524,inspección avanzada de gps y frenos deportivos según solicitud del cliente.,Finalizado,2026-03-17 00:00:00,2026-03-07 00:00:00,857,Cliente informado
39,1238,3159,inspección avanzada de luces y cableado debido a desgaste.,En proceso,2026-03-20 00:00:00,2026-03-21 00:00:00,5150,Entregado
40,1279,3947,inspección avanzada de motor y diferencial incluyendo ajuste final.,Finalizado,2026-03-20 00:00:00,2026-03-20 00:00:00,2153,Cliente informado
41,4829,1653,servicio integral para pistones y culata y verificación completa.,Finalizado,2026-03-29 00:00:00,2026-03-30 00:00:00,5069,Entregado
42,3823,3326,ajuste técnico de encendido y sensores según solicitud del cliente.,Finalizado,2026-03-24 00:00:00,2026-03-25 00:00:00,2349,Cliente informado
